#Non-parametric morphology statistics and PC values for CANDELS (UDS/GOODS-S/COSMOS)
#galaxies
#pGX refers to the probability of a galaxy being in group X
#ID RA DEC C_J ASYM_J M20_J GINI_J M_J I_J D_J LOGMASS PHOTZ GROUP PC1 PC2 PC3 PC4 PC5 PC6 PC7    pGoutlier pG0 pG1 pG2 pG4 pG5 pG6 pG8 pG9 
897 	  34.320950 	  -5.272433 	               2.690000 	  -0.210000 	  -0.870000 	   0.320000 	               1.000000 	   0.978000 	   0.751000 	  10.550000 	   1.450000 	 -1 	5.903339 	-1.816593 	-0.478177 	2.228206 	0.849887 	-0.149888 	-1.501095 	  0.80 	  0.02 	  0.01 	  0.02 	  0.02 	  0.00 	  0.02 	  0.00 	  0.11 	
901 	  34.504524 	  -5.273474 	               1.990000 	   0.270000 	  -1.130000 	   0.370000 	               0.927000 	   0.901000 	   0.477000 	  10.540000 	   1.666000 	 1 	4.142297 	-0.687939 	2.413702 	-0.224145 	0.517819 	-0.230338 	-0.463828 	  0.00 	  0.02 	  0.79 	  0.01 	  0.13 	  0.03 	  0.02 	  0.00 	  0.00 	
951 	  34.349312 	  -5.272084 	               2.830000 	   0.080000 	  -1.650000 	   0.500000 	             -99.000000 	   0.003000 	   0.054000 	  10.420000 	   1.518000 	 6 	-1.510127 	-0.910320 	0.562640 	0.024776 	-0.352366 	-0.011435 	-0.199097 	  0.00 	  0.00 	  0.02 	  0.10 	  0.06 	  0.01 	  0.77 	  0.02 	  0.02 	
1006 	  34.277973 	  -5.271857 	               3.340000 	  -0.140000 	  -1.610000 	   0.520000 	               0.017000 	   0.029000 	   0.065000 	  10.260000 	   1.369000 	 4 	-0.767529 	-0.094435 	-1.554671 	0.266977 	0.916859 	-0.217010 	0.503144 	  0.00 	  0.01 	  0.02 	  0.01 	  0.71 	  0.03 	  0.01 	  0.02 	  0.18 	
1052 	  34.285053 	  -5.271460 	               2.860000 	  -0.030000 	  -1.080000 	   0.380000 	               0.867000 	   0.888000 	   0.488000 	  10.550000 	   1.478000 	 1 	4.088692 	-0.790269 	0.173892 	0.864689 	0.522324 	-0.629711 	-0.891151 	  0.00 	  0.00 	  0.80 	  0.00 	  0.00 	  0.17 	  0.00 	  0.03 	  0.00 	
1056 	  34.426880 	  -5.271574 	               2.820000 	  -0.130000 	  -0.810000 	   0.420000 	               0.037000 	   0.042000 	   0.129000 	  10.520000 	   1.797000 	 4 	1.567640 	-1.110005 	-1.655938 	0.066340 	-0.721998 	0.851262 	1.145623 	  0.00 	  0.00 	  0.02 	  0.06 	  0.20 	  0.52 	  0.05 	  0.00 	  0.14 	
1064 	  34.463425 	  -5.272727 	               3.200000 	   0.070000 	  -1.810000 	   0.550000 	             -99.000000 	   0.000000 	   0.055000 	  11.330000 	   1.437000 	 6 	-2.194246 	-0.340399 	0.512341 	0.462096 	-0.023774 	-0.445326 	-0.212248 	  0.80 	  0.06 	  0.01 	  0.02 	  0.00 	  0.04 	  0.01 	  0.04 	  0.01 	
1083 	  34.423386 	  -5.271190 	               2.730000 	   0.070000 	  -1.650000 	   0.510000 	             -99.000000 	   0.003000 	   0.033000 	  10.250000 	   1.423000 	 6 	-1.647379 	-0.986235 	0.518435 	-0.007344 	-0.327657 	-0.148862 	-0.028571 	  0.00 	  0.01 	  0.02 	  0.14 	  0.04 	  0.00 	  0.76 	  0.01 	  0.02 	
1088 	  34.354618 	  -5.271605 	               2.740000 	   0.080000 	  -1.780000 	   0.500000 	             -99.000000 	   0.004000 	   0.076000 	  10.770000 	   1.806000 	 6 	-1.639207 	-0.980390 	0.701884 	0.051638 	0.019692 	-0.008082 	-0.405708 	  0.00 	  0.00 	  0.01 	  0.07 	  0.11 	  0.01 	  0.80 	  0.00 	  0.00 	
1287 	  34.412884 	  -5.270254 	               4.190000 	   0.000000 	  -1.970000 	   0.600000 	               0.014000 	   0.029000 	   0.022000 	  10.760000 	   1.883000 	 0 	-2.182444 	1.562367 	-0.819662 	0.368292 	1.260884 	-0.799286 	0.286698 	  0.00 	  0.66 	  0.16 	  0.05 	  0.07 	  0.04 	  0.03 	  0.00 	  0.00 	
